category, average_price
Bags & Luggage,95.64979
Mobile & Gadgets,25.571247
Toys,\N
Women's Apparel,94.58884
Home & Living,33826.258
Home Appliances,158.80199
Women's Shoes,39.354267
Food & Beverages,3252061.0
Jewellery & Accessories,46.86304
Pet Accessories,12.949995
Tickets & Vouchers,70.689896
Computers & Peripherals,512967.5
Men's Wear,28.933588
Sports & Outdoors,25.327541
Health & Beauty,25.260225
Design & Crafts,347839.75
Games & Hobbies,461503.78
Miscellaneous ,348.63318
Men's Shoes,60.641876
Watches,27.079565
#N/A,15.263637
